elevation_deg,v_rel_kmps,n_nodes,modulation,PER_pct,distance_km,kappa,doppler_hz,doppler_rate_hz,visibility_window_s,RSSI_dBm,SNR_dB,toa_s,max_packets_in_window
5,0.0,10000,DR8,0.8928571428571397,2069.641666268665,1.24,1579.7219717767582,308.073922178962,53.11494523536929,-133.19052091160998,6.425280868362916,1.324766,40
5,0.0,10000,DR9,0.4878048780487809,2069.641666268665,1.24,1579.7219717767582,308.073922178962,53.11494523536929,-132.85539446122246,6.760407318750418,0.779094,68
5,0.0,10000,SF10,100.0,2069.641666268665,1.24,1579.7219717767582,308.073922178962,53.11494523536929,-133.26486945738026,-16.233969587460813,0.288768,184
5,0.0,10000,SF11,52.56410256410257,2069.641666268665,1.24,1579.7219717767582,308.073922178962,53.11494523536929,-133.2938385440505,-16.262938674131064,0.577536,92
5,0.0,10000,SF12,100.0,2069.641666268665,1.24,1579.7219717767582,308.073922178962,53.11494523536929,-133.4299847036467,-16.399084833727283,0.991232,54
5,0.0,10000,SF7,99.4949494949495,2069.641666268665,1.24,1579.7219717767582,308.073922178962,53.11494523536929,-132.71130005790144,-15.680400187981997,0.041216,1289
5,0.0,10000,SF8,90.36697247706422,2069.641666268665,1.24,1579.7219717767582,308.073922178962,53.11494523536929,-133.0799338616549,-16.049033991735453,0.072192,736
5,0.0,10000,SF9,74.22680412371135,2069.641666268665,1.24,1579.7219717767582,308.073922178962,53.11494523536929,-132.842593678494,-15.811693808574582,0.144384,368
5,0.0,50000,DR8,0.8482563619227168,2069.6217087064115,1.24,1533.80150148632,308.1249299344376,53.11494523536929,-133.15482981320048,6.4609719667724015,1.324766,40
5,0.0,50000,DR9,1.8849206349206395,2069.6217087064115,1.24,1533.80150148632,308.1249299344376,53.11494523536929,-133.15152801228066,6.464273767692202,0.779094,68
5,0.0,50000,SF10,100.0,2069.6217087064115,1.24,1533.80150148632,308.1249299344376,53.11494523536929,-133.14368688565577,-16.112787015736327,0.288768,184
5,0.0,50000,SF11,87.98828125,2069.6217087064115,1.24,1533.80150148632,308.1249299344376,53.11494523536929,-132.89717864241385,-15.8662787724944,0.577536,92
5,0.0,50000,SF12,100.0,2069.6217087064115,1.24,1533.80150148632,308.1249299344376,53.11494523536929,-133.07591267107156,-16.045012801152122,0.991232,54
5,0.0,50000,SF7,98.8394584139265,2069.6217087064115,1.24,1533.80150148632,308.1249299344376,53.11494523536929,-133.11134910319586,-16.080449233276415,0.041216,1289
5,0.0,50000,SF8,93.6007640878701,2069.6217087064115,1.24,1533.80150148632,308.1249299344376,53.11494523536929,-132.91679807144524,-15.885898201525787,0.072192,736
5,0.0,50000,SF9,81.19575699132112,2069.6217087064115,1.24,1533.80150148632,308.1249299344376,53.11494523536929,-133.01126028237596,-15.980360412456514,0.144384,368
5,0.0,100000,DR8,2.6735459662288963,2069.6378171782285,1.24,1573.424748852696,308.0173723520153,53.11494523536929,-133.12561554059732,6.490186239375552,1.324766,40
5,0.0,100000,DR9,6.177606177606176,2069.6378171782285,1.24,1573.424748852696,308.0173723520153,53.11494523536929,-133.26436453178354,6.35143724818936,0.779094,68
5,0.0,100000,SF10,100.0,2069.6378171782285,1.24,1573.424748852696,308.0173723520153,53.11494523536929,-133.2035222297316,-16.172622359812163,0.288768,184
5,0.0,100000,SF11,98.1421272642824,2069.6378171782285,1.24,1573.424748852696,308.0173723520153,53.11494523536929,-132.95678653459564,-15.925886664676195,0.577536,92
